>> inlierPtsL.Location

ans =

        583.5899         316.496
        529.5443        319.7076
        523.9291        266.7145
        716.5097        167.9171
        424.8752        214.9194
        659.2872        295.5916
        373.6762        88.69822
        367.8356        113.8396
        401.7248        278.4669
        343.0444        427.6328
        384.1919        372.8091
        658.8819        304.6416
        247.2281        124.9556
        637.5245        207.4742
        509.6335        229.1574
        146.6445        478.1613
        837.9375        213.1716
        344.0707        252.1358
        635.7935        337.3462
        405.7809        45.40806
        384.4723         436.505
        711.0313        232.8776
        391.1995        80.98622
        413.0121        488.1008
         582.755        255.2943
        586.9292        310.6887
        555.2051        304.0247
        623.7899        103.2348
        455.3402        526.9753
        386.3389        96.18967
        346.3859        253.5506
        360.9176        211.2438
        402.0718         598.751
        363.1309        210.9613
        370.7813        425.5035
        746.7748        222.9939
        917.9497        119.6241
        408.8597        364.3249
        464.0717        517.8897
        331.9533        299.6874
        738.0045        217.2653
        354.1733        220.9241
        412.0332        92.92679
        280.9204         433.457
         396.184        248.2983
        277.7066        230.8338
        367.1051          209.67
        812.5084        536.6475
        334.9664         443.611
        382.6877        569.8601
        918.0228        122.0914
        669.9415        320.9113
        490.8182        524.3095
        639.2858        57.62132
        351.3001        410.5593
         326.813        71.56579
        734.3638         272.694
        805.1779        221.0695
        76.51435        463.3877
        532.6483        423.6006
        417.1186        538.1082

>> inlierPtsR.Location

ans =

        568.2168        316.6468
        515.5333        319.8492
         506.687        266.9699
        706.5854        168.0904
        411.7735        215.1366
        647.3939        295.7482
        360.6759        88.67837
        359.3418         113.785
        388.3024        278.6756
        345.3554        427.5963
        384.9884        372.8305
        646.6779        304.7758
        240.7869        124.8381
        622.2308        207.7436
        493.3561        229.4229
        155.9196        478.1548
        851.8491         212.994
        333.5259        252.3386
        621.4819        337.4185
        392.6751        45.28407
         386.616        436.4181
        701.1192        233.0666
        378.1138        80.96444
        418.7295        487.8834
        566.2668        255.5593
         572.385        310.8391
        537.8065        304.2236
        608.7864        103.4001
        465.8964        526.6495
        373.3313         96.2058
        335.7421        253.7558
        350.0183        211.4301
        423.8314         598.382
        352.1535        211.1289
        372.7578        425.4563
        738.2324         223.171
        939.8245        119.0549
        408.7505        364.3767
        473.2698         517.567
        322.4968        299.8554
        729.5104        217.4393
        343.2075        221.1037
        399.2037        92.93471
        280.2944        433.4292
        383.5033        248.5212
        274.8124        230.8921
        355.6985        209.8427
         824.433        536.0526
        337.2663         443.524
        398.1552        569.4975
        939.6769        121.5439
        657.8251        320.9962
        501.2301        523.9537
        624.7875        57.68656
        353.7475        410.5433
        316.8002        71.39893
        725.4218        272.8266
        815.9446        220.9444
        89.56991        463.4714
        529.5369        423.4692
        428.9572        537.7875
